FIGHERT1,FIGHERT2,OUTCOME1,OUTCOME2,METHOD,ROUND,TIME,REFEREE,DATE
Kai Kara-France ,Amir Albazi ,L,W,Decision - Split ,5,5:00,Herb Dean,"June 03, 2023"
Alex Caceres ,Daniel Pineda ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"June 03, 2023"
Jim Miller ,Jesse Butler ,W,L,KO/TKO ,1,0:23,Dan Miragliotta,"June 03, 2023"
Tim Elliott ,Victor Altamirano ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"June 03, 2023"
Karine Silva ,Ketlen Souza ,W,L,Submission ,1,1:45,Chris Tognoni,"June 03, 2023"
Abubakar Nurmagomedov ,Elizeu Zaleski dos Santos ,L,W,Decision - Split ,3,5:00,Dan Miragliotta,"June 03, 2023"
Daniel Santos ,Johnny Munoz ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"June 03, 2023"
Andrei Arlovski ,Don'Tale Mayes ,L,W,KO/TKO ,2,3:17,Mark Smith,"June 03, 2023"
John Castaneda ,Muin Gafurov ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"June 03, 2023"
Jamie Mullarkey ,Muhammad Naimov ,L,W,KO/TKO ,2,2:59,Herb Dean,"June 03, 2023"
Elise Reed ,Jinh Yu Frey ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"June 03, 2023"
Da'Mon Blackshear ,Luan Lacerda ,W,L,KO/TKO ,2,3:54,Chris Tognoni,"June 03, 2023"
Philipe Lins ,Maxim Grishin ,W,L,Decision - Unanimous ,3,5:00,Dan Miragliotta,"June 03, 2023"
Mackenzie Dern ,Angela Hill ,W,L,Decision - Unanimous ,5,5:00,Jason Herzog,"May 20, 2023"
Edmen Shahbazyan ,Anthony Hernandez ,L,W,KO/TKO ,3,1:01,Herb Dean,"May 20, 2023"
Emily Ducote ,Loopy Godinez ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 20, 2023"
Andre Fialho ,Joaquin Buckley ,L,W,KO/TKO ,2,4:15,Kerry Hatley,"May 20, 2023"
Diego Ferreira ,Michael Johnson ,W,L,KO/TKO ,2,1:50,Herb Dean,"May 20, 2023"
 Maheshate ,Viacheslav Borshchev ,L,W,KO/TKO ,2,2:37,Jason Herzog,"May 20, 2023"
Karolina Kowalkiewicz ,Vanessa Demopoulos ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 20, 2023"
Orion Cosce ,Gilbert Urbina ,L,W,KO/TKO ,2,2:55,Kerry Hatley,"May 20, 2023"
Ilir Latifi ,Rodrigo Nascimento ,L,W,Decision - Split ,3,5:00,Herb Dean,"May 20, 2023"
Chase Hooper ,Nick Fiore ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"May 20, 2023"
Natalia Silva ,Victoria Leonardo ,W,L,KO/TKO ,1,2:58,Kerry Hatley,"May 20, 2023"
Takashi Sato ,Themba Gorimbo ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 20, 2023"
Jairzinho Rozenstruik ,Jailton Almeida ,L,W,Submission ,1,3:43,Dan Miragliotta,"May 13, 2023"
Anthony Smith ,Johnny Walker ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"May 13, 2023"
Daniel Rodriguez ,Ian Garry ,L,W,KO/TKO ,1,2:57,Dan Miragliotta,"May 13, 2023"
Carlos Ulberg ,Ihor Potieria ,W,L,KO/TKO ,1,2:09,Keith Peterson,"May 13, 2023"
Tim Means ,Alex Morono ,L,W,Submission ,2,2:09,Wayne Spinola,"May 13, 2023"
Matt Brown ,Court McGee ,W,L,KO/TKO ,1,4:09,Dan Miragliotta,"May 13, 2023"
Karl Williams ,Chase Sherman ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"May 13, 2023"
Cody Stamann ,Douglas Silva de Andrade ,L,W,Decision - Unanimous ,3,5:00,Wayne Spinola,"May 13, 2023"
Ji Yeon Kim ,Mandy Bohm ,L,W,Decision - Split ,3,1:55,Larry Carter,"May 13, 2023"
Bryan Battle ,Gabe Green ,W,L,KO/TKO ,1,0:14,Wayne Spinola,"May 13, 2023"
Jessica-Rose Clark ,Tainara Lisboa ,L,W,Submission ,3,4:20,Larry Carter,"May 13, 2023"
Aljamain Sterling ,Henry Cejudo ,W,L,Decision - Split ,5,5:00,Herb Dean,"May 06, 2023"
Belal Muhammad ,Gilbert Burns ,W,L,Decision - Unanimous ,5,5:00,Keith Peterson,"May 06, 2023"
Jessica Andrade ,Yan Xiaonan ,L,W,KO/TKO ,1,2:20,Vitor Ribeiro,"May 06, 2023"
Movsar Evloev ,Diego Lopes ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"May 06, 2023"
Kron Gracie ,Charles Jourdain ,L,W,Decision - Unanimous ,3,5:00,Gary Copeland,"May 06, 2023"
Drew Dober ,Matt Frevola ,L,W,KO/TKO ,1,4:08,Herb Dean,"May 06, 2023"
Kennedy Nzechukwu ,Devin Clark ,W,L,Submission ,2,2:28,Gasper Oliver,"May 06, 2023"
Khaos Williams ,Rolando Bedoya ,W,L,Decision - Split ,3,5:00,Keith Peterson,"May 06, 2023"
Marina Rodriguez ,Virna Jandiroba ,L,W,Decision - Unanimous ,3,5:00,Vitor Ribeiro,"May 06, 2023"
Braxton Smith ,Parker Porter ,L,W,KO/TKO ,1,2:10,Gary Copeland,"May 06, 2023"
Phil Hawes ,Ikram Aliskerov ,L,W,KO/TKO ,1,2:10,Gasper Oliver,"May 06, 2023"
Joseph Holmes ,Claudio Ribeiro ,L,W,KO/TKO ,2,3:21,Gary Copeland,"May 06, 2023"
Song Yadong ,Ricky Simon ,W,L,KO/TKO ,5,1:10,Herb Dean,"April 29, 2023"
Caio Borralho ,Michal Oleksiejczuk ,W,L,Submission ,2,2:49,Jason Herzog,"April 29, 2023"
Rodolfo Vieira ,Cody Brundage ,W,L,Submission ,2,1:28,Mark Smith,"April 29, 2023"
Julian Erosa ,Fernando Padilla ,L,W,KO/TKO ,1,1:41,Chris Tognoni,"April 29, 2023"
Marcos Rogerio de Lima ,Waldo Cortes-Acosta ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"April 29, 2023"
Josh Quinlan ,Trey Waters ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"April 29, 2023"
Martin Buday ,Jake Collier ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"April 29, 2023"
Cody Durden ,Charles Johnson ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"April 29, 2023"
Stephanie Egger ,Irina Alekseeva ,L,W,Submission ,1,2:11,Jason Herzog,"April 29, 2023"
Journey Newson ,Marcus McGhee ,L,W,Submission ,2,2:03,Mark Smith,"April 29, 2023"
Hailey Cowan ,Jamey-Lyn Horth ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"April 29, 2023"
Sergei Pavlovich ,Curtis Blaydes ,W,L,KO/TKO ,1,3:08,Marc Goddard,"April 22, 2023"
Brad Tavares ,Bruno Silva ,L,W,KO/TKO ,1,3:35,Mark Smith,"April 22, 2023"
Bobby Green ,Jared Gordon ,NC,NC,Could Not Continue ,1,4:35,Keith Peterson,"April 22, 2023"
Iasmin Lucindo ,Brogan Walker ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"April 22, 2023"
Jeremiah Wells ,Matthew Semelsberger ,W,L,Decision - Split ,3,5:00,Marc Goddard,"April 22, 2023"
Ricky Glenn ,Christos Giagos ,L,W,KO/TKO ,1,1:35,Jacob Montalvo,"April 22, 2023"
Rani Yahya ,Montel Jackson ,L,W,KO/TKO ,1,3:42,Keith Peterson,"April 22, 2023"
Karol Rosa ,Norma Dumont ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"April 22, 2023"
Mohammed Usman ,Junior Tafa ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"April 22, 2023"
Francis Marshall ,William Gomis ,L,W,Decision - Split ,3,5:00,Keith Peterson,"April 22, 2023"
Brady Hiestand ,Batgerel Danaa ,W,L,KO/TKO ,3,4:21,Jerin Valel,"April 22, 2023"
Max Holloway ,Arnold Allen ,W,L,Decision - Unanimous ,5,5:00,Jason Herzog,"April 15, 2023"
Edson Barboza ,Billy Quarantillo ,W,L,KO/TKO ,1,2:37,Keith Peterson,"April 15, 2023"
Dustin Jacoby ,Azamat Murzakanov ,L,W,Decision - Unanimous ,3,5:00,Nick Berens,"April 15, 2023"
Tanner Boser ,Ion Cutelaba ,L,W,KO/TKO ,1,2:05,Keith Peterson,"April 15, 2023"
Pedro Munhoz ,Chris Gutierrez ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"April 15, 2023"
Clay Guida ,Rafa Garcia ,L,W,Decision - Unanimous ,3,5:00,Dwayne Bess,"April 15, 2023"
Bill Algeo ,TJ Brown ,W,L,Submission ,2,1:40,Jason Herzog,"April 15, 2023"
Brandon Royval ,Matheus Nicolau ,W,L,KO/TKO ,1,2:09,Nick Berens,"April 15, 2023"
Zak Cummings ,Ed Herman ,W,L,KO/TKO ,3,4:13,Dwayne Bess,"April 15, 2023"
Gillian Robertson ,Piera Rodriguez ,W,L,Submission ,2,4:21,Keith Peterson,"April 15, 2023"
Lando Vannata ,Daniel Zellhuber ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"April 15, 2023"
Bruna Brasil ,Denise Gomes ,L,W,KO/TKO ,2,2:42,Dwayne Bess,"April 15, 2023"
Aaron Phillips ,Gaston Bolanos ,L,W,Decision - Unanimous ,3,5:00,Nick Berens,"April 15, 2023"
Joselyne Edwards ,Lucie Pudilova ,W,L,Decision - Split ,3,5:00,Dwayne Bess,"April 15, 2023"
Alex Pereira ,Israel Adesanya ,L,W,KO/TKO ,2,4:21,Dan Miragliotta,"April 08, 2023"
Gilbert Burns ,Jorge Masvidal ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"April 08, 2023"
Rob Font ,Adrian Yanez ,W,L,KO/TKO ,1,2:57,Keith Peterson,"April 08, 2023"
Kevin Holland ,Santiago Ponzinibbio ,W,L,KO/TKO ,3,3:16,Dan Miragliotta,"April 08, 2023"
Raul Rosas Jr. ,Christian Rodriguez ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"April 08, 2023"
Chris Curtis ,Kelvin Gastelum ,L,W,Decision - Unanimous ,3,5:00,Marc Goddard,"April 08, 2023"
Michelle Waterson-Gomez ,Luana Pinheiro ,L,W,Decision - Split ,3,5:00,Larry Folsom,"April 08, 2023"
Gerald Meerschaert ,Joe Pyfer ,L,W,KO/TKO ,1,3:15,Marc Goddard,"April 08, 2023"
Cynthia Calvillo ,Loopy Godinez ,L,W,Decision - Split ,3,5:00,Larry Folsom,"April 08, 2023"
Ignacio Bahamondes ,Trey Ogden ,W,L,Decision - Unanimous ,3,5:00,Andrew Glenn,"April 08, 2023"
Shayilan Nuerdanbieke ,Steve Garcia ,L,W,KO/TKO ,2,0:36,Larry Folsom,"April 08, 2023"
Jaqueline Amorim ,Sam Hughes ,L,W,Decision - Unanimous ,3,5:00,Andrew Glenn,"April 08, 2023"
Marlon Vera ,Cory Sandhagen ,L,W,Decision - Split ,5,5:00,Dan Miragliotta,"March 25, 2023"
Holly Holm ,Yana Santos ,W,L,Decision - Unanimous ,3,5:00,Jacob Montalvo,"March 25, 2023"
Nate Landwehr ,Austin Lingo ,W,L,Submission ,2,4:11,Jason Herzog,"March 25, 2023"
Andrea Lee ,Maycee Barber ,L,W,Decision - Split ,3,5:00,Kerry Hatley,"March 25, 2023"
Chidi Njokuani ,Albert Duraev ,L,W,Decision - Split ,3,5:00,Kerry Hatley,"March 25, 2023"
Daniel Pineda ,Tucker Lutz ,W,L,Submission ,2,2:50,Jason Herzog,"March 25, 2023"
Steven Peterson ,Lucas Alexander ,L,W,Decision - Unanimous ,3,5:00,Jacob Montalvo,"March 25, 2023"
Trevin Giles ,Preston Parsons ,W,L,Decision - Split ,3,5:00,Kerry Hatley,"March 25, 2023"
CJ Vergara ,Daniel Lacerda ,W,L,KO/TKO ,2,4:04,Jason Herzog,"March 25, 2023"
Victor Altamirano ,Vinicius Salvador ,W,L,Decision - Unanimous ,3,5:00,Kerry Hatley,"March 25, 2023"
Leon Edwards ,Kamaru Usman ,W,L,Decision - Majority ,5,5:00,Herb Dean,"March 18, 2023"
Justin Gaethje ,Rafael Fiziev ,W,L,Decision - Majority ,3,5:00,Marc Goddard,"March 18, 2023"
Gunnar Nelson ,Bryan Barberena ,W,L,Submission ,1,4:51,Rich Mitchell,"March 18, 2023"
Jennifer Maia ,Casey O'Neill ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"March 18, 2023"
Marvin Vettori ,Roman Dolidze ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"March 18, 2023"
Jack Shore ,Makwan Amirkhani ,W,L,Submission ,2,4:27,Rich Mitchell,"March 18, 2023"
Chris Duncan ,Omar Morales ,W,L,Decision - Split ,3,5:00,Lukasz Bosacki,"March 18, 2023"
Sam Patterson ,Yanal Ashmouz ,L,W,KO/TKO ,1,1:15,Marc Goddard,"March 18, 2023"
Muhammad Mokaev ,Jafel Filho ,W,L,Submission ,3,4:32,Herb Dean,"March 18, 2023"
Lerone Murphy ,Gabriel Santos ,W,L,Decision - Split ,3,5:00,Rich Mitchell,"March 18, 2023"
Christian Duncan ,Dusko Todorovic ,W,L,KO/TKO ,1,1:52,Lukasz Bosacki,"March 18, 2023"
Jake Hadley ,Malcolm Gordon ,W,L,KO/TKO ,1,1:01,Marc Goddard,"March 18, 2023"
Joanne Wood ,Luana Carolina ,W,L,Decision - Split ,3,5:00,Herb Dean,"March 18, 2023"
Jai Herbert ,Ludovit Klein ,D,D,Decision - Majority ,3,5:00,Rich Mitchell,"March 18, 2023"
Juliana Miller ,Veronica Hardy ,L,W,Decision - Unanimous ,3,5:00,Lukasz Bosacki,"March 18, 2023"
Petr Yan ,Merab Dvalishvili ,L,W,Decision - Unanimous ,5,5:00,Herb Dean,"March 11, 2023"
Alexander Volkov ,Alexandr Romanov ,W,L,KO/TKO ,1,2:16,Mark Smith,"March 11, 2023"
Nikita Krylov ,Ryan Spann ,W,L,Submission ,1,3:38,Herb Dean,"March 11, 2023"
Said Nurmagomedov ,Jonathan Martinez ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"March 11, 2023"
Mario Bautista ,Guido Cannetti ,W,L,Submission ,1,3:18,Chris Tognoni,"March 11, 2023"
Vitor Petrino ,Anton Turkalj ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"March 11, 2023"
Karl Williams ,Lukasz Brzeski ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"March 11, 2023"
Raphael Assuncao ,Davey Grant ,L,W,Submission ,3,4:43,Keith Peterson,"March 11, 2023"
Sedriques Dumas ,Josh Fremd ,L,W,Submission ,2,3:00,Chris Tognoni,"March 11, 2023"
Victor Henry ,Tony Gravely ,W,L,Decision - Split ,3,5:00,Mark Smith,"March 11, 2023"
Ariane Lipski ,JJ Aldrich ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"March 11, 2023"
Tyson Nam ,Bruno Silva ,L,W,Submission ,2,1:23,Chris Tognoni,"March 11, 2023"
Carlston Harris ,Jared Gooden ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"March 11, 2023"
Jon Jones ,Ciryl Gane ,W,L,Submission ,1,2:04,Marc Goddard,"March 04, 2023"
Valentina Shevchenko ,Alexa Grasso ,L,W,Submission ,4,4:34,Jason Herzog,"March 04, 2023"
Geoff Neal ,Shavkat Rakhmonov ,L,W,Submission ,3,4:17,Herb Dean,"March 04, 2023"
Mateusz Gamrot ,Jalin Turner ,W,L,Decision - Split ,3,5:00,Mark Smith,"March 04, 2023"
Bo Nickal ,Jamie Pickett ,W,L,Submission ,1,2:54,Keith Peterson,"March 04, 2023"
Cody Garbrandt ,Trevin Jones ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"March 04, 2023"
Derek Brunson ,Dricus Du Plessis ,L,W,KO/TKO ,2,4:59,Herb Dean,"March 04, 2023"
Viviane Araujo ,Amanda Ribas ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"March 04, 2023"
Julian Marquez ,Marc-Andre Barriault ,L,W,KO/TKO ,2,4:12,Mark Smith,"March 04, 2023"
Ian Garry ,Song Kenan ,W,L,KO/TKO ,3,4:22,Marc Goddard,"March 04, 2023"
Mana Martinez ,Cameron Saaiman ,L,W,Decision - Majority ,3,5:00,Herb Dean,"March 04, 2023"
Jessica Penne ,Tabatha Ricci ,L,W,Submission ,2,2:14,Jason Herzog,"March 04, 2023"
Da'Mon Blackshear ,Farid Basharat ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"March 04, 2023"
Esteban Ribovics ,Loik Radzhabov ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"March 04, 2023"
Andre Muniz ,Brendan Allen ,L,W,Submission ,3,4:25,Jason Herzog,"February 25, 2023"
Augusto Sakai ,Don'Tale Mayes ,W,L,Decision - Unanimous ,3,5:00,Kerry Hatley,"February 25, 2023"
Tatiana Suarez ,Montana De La Rosa ,W,L,Submission ,2,2:51,Chris Tognoni,"February 25, 2023"
Mike Malott ,Yohan Lainesse ,W,L,Submission ,1,4:15,Mark Smith,"February 25, 2023"
Erick Gonzalez ,Trevor Peek ,L,W,KO/TKO ,1,4:59,Kerry Hatley,"February 25, 2023"
Jasmine Jasudavicius ,Gabriella Fernandes ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 25, 2023"
Jordan Leavitt ,Victor Martinez ,W,L,KO/TKO ,1,2:27,Jason Herzog,"February 25, 2023"
Ode Osbourne ,Charles Johnson ,W,L,Decision - Split ,3,5:00,Kerry Hatley,"February 25, 2023"
Joe Solecki ,Carl Deaton ,W,L,Submission ,2,4:55,Jason Herzog,"February 25, 2023"
Rafael Alves ,Nurullo Aliev ,L,W,Decision - Majority ,3,5:00,Mark Smith,"February 25, 2023"
Jessica Andrade ,Erin Blanchfield ,L,W,Submission ,2,1:37,Herb Dean,"February 18, 2023"
Jordan Wright ,Zac Pauga ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"February 18, 2023"
Josh Parisian ,Jamal Pogues ,L,W,Decision - Unanimous ,3,5:00,Jacob Montalvo,"February 18, 2023"
William Knight ,Marcin Prachnio ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 18, 2023"
Jim Miller ,Alexander Hernandez ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"February 18, 2023"
Nazim Sadykhov ,Evan Elder ,W,L,TKO - Doctor's Stoppage ,3,0:38,Mark Smith,"February 18, 2023"
Lina Lansberg ,Mayra Bueno Silva ,L,W,Submission ,2,4:45,Jacob Montalvo,"February 18, 2023"
Jamall Emmers ,Khusein Askhabov ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 18, 2023"
Ovince Saint Preux ,Philipe Lins ,L,W,KO/TKO ,1,0:49,Mark Smith,"February 18, 2023"
AJ Fletcher ,Themba Gorimbo ,W,L,Submission ,2,1:37,Jacob Montalvo,"February 18, 2023"
Clayton Carpenter ,Juancamilo Ronderos ,W,L,Submission ,1,3:13,Chris Tognoni,"February 18, 2023"
Islam Makhachev ,Alexander Volkanovski ,W,L,Decision - Unanimous ,5,5:00,Marc Goddard,"February 11, 2023"
Yair Rodriguez ,Josh Emmett ,W,L,Submission ,2,4:19,Jason Herzog,"February 11, 2023"
Jack Della Maddalena ,Randy Brown ,W,L,Submission ,1,2:13,Marc Goddard,"February 11, 2023"
Justin Tafa ,Parker Porter ,W,L,KO/TKO ,1,1:06,Jason Herzog,"February 11, 2023"
Jimmy Crute ,Alonzo Menifield ,D,D,Decision - Majority ,3,5:00,Marc Goddard,"February 11, 2023"
Tyson Pedro ,Modestas Bukauskas ,L,W,Decision - Unanimous ,3,5:00,Steve Perceval,"February 11, 2023"
Josh Culibao ,Melsik Baghdasaryan ,W,L,Submission ,2,2:02,Peter Hickmott,"February 11, 2023"
Shannon Ross ,Kleydson Rodrigues ,L,W,KO/TKO ,1,0:59,Matt Wynne,"February 11, 2023"
Jamie Mullarkey ,Francisco Prado ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"February 11, 2023"
Jack Jenkins ,Don Shainis ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"February 11, 2023"
Loma Lookboonmee ,Elise Reed ,W,L,Submission ,2,0:44,Steve Perceval,"February 11, 2023"
Shane Young ,Blake Bilder ,L,W,Decision - Unanimous ,3,5:00,Peter Hickmott,"February 11, 2023"
Zubaira Tukhugov ,Elves Brener ,L,W,Decision - Split ,3,5:00,Matt Wynne,"February 11, 2023"
Derrick Lewis ,Serghei Spivac ,L,W,Submission ,1,3:05,Marc Goddard,"February 04, 2023"
Da Woon Jung ,Devin Clark ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"February 04, 2023"
Marcin Tybura ,Blagoy Ivanov ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"February 04, 2023"
Dooho Choi ,Kyle Nelson ,D,D,Decision - Majority ,3,5:00,Chris Tognoni,"February 04, 2023"
Yusaku Kinoshita ,Adam Fugitt ,L,W,KO/TKO ,1,4:36,Keith Peterson,"February 04, 2023"
Jeka Saragih ,Anshul Jubli ,L,W,KO/TKO ,2,3:44,Marc Goddard,"February 04, 2023"
JeongYeong Lee , Yizha ,W,L,Decision - Split ,3,5:00,Mark Smith,"February 04, 2023"
Toshiomi Kazama ,Rinya Nakamura ,L,W,KO/TKO ,1,0:33,Keith Peterson,"February 04, 2023"
SeungGuk Choi ,HyunSung Park ,L,W,Submission ,3,3:11,Marc Goddard,"February 04, 2023"
JunYong Park ,Denis Tiuliulin ,W,L,Submission ,1,4:05,Mark Smith,"February 04, 2023"
Tatsuro Taira ,Jesus Aguilar ,W,L,Submission ,1,4:20,Chris Tognoni,"February 04, 2023"
Glover Teixeira ,Jamahal Hill ,L,W,Decision - Unanimous ,5,5:00,Marc Goddard,"January 21, 2023"
Deiveson Figueiredo ,Brandon Moreno ,L,W,TKO - Doctor's Stoppage ,3,5:00,Herb Dean,"January 21, 2023"
Gilbert Burns ,Neil Magny ,W,L,Submission ,1,4:15,Fernando Portella,"January 21, 2023"
Lauren Murphy ,Jessica Andrade ,L,W,Decision - Unanimous ,3,5:00,Osiris Maia,"January 21, 2023"
Paul Craig ,Johnny Walker ,L,W,KO/TKO ,1,2:16,Herb Dean,"January 21, 2023"
Mauricio Rua ,Ihor Potieria ,L,W,KO/TKO ,1,4:05,Herb Dean,"January 21, 2023"
Gregory Rodrigues ,Brunno Ferreira ,L,W,KO/TKO ,1,4:13,Fernando Portella,"January 21, 2023"
Thiago Moises ,Melquizael Costa ,W,L,Submission ,2,4:05,Osiris Maia,"January 21, 2023"
Gabriel Bonfim ,Mounir Lazzez ,W,L,Submission ,1,0:49,Herb Dean,"January 21, 2023"
Shamil Abdurakhimov ,Jailton Almeida ,L,W,KO/TKO ,2,2:56,Fernando Portella,"January 21, 2023"
Luan Lacerda ,Cody Stamann ,L,W,Decision - Unanimous ,3,5:00,Marc Goddard,"January 21, 2023"
Ismael Bonfim ,Terrance McKinney ,W,L,KO/TKO ,2,2:17,Osiris Maia,"January 21, 2023"
Warlley Alves ,Nicolas Dalby ,L,W,Decision - Split ,3,5:00,Herb Dean,"January 21, 2023"
Josiane Nunes ,Zarah Fairn ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"January 21, 2023"
Saimon Oliveira ,Daniel Marcos ,L,W,KO/TKO ,2,2:18,Fernando Portella,"January 21, 2023"
Sean Strickland ,Nassourdine Imavov ,W,L,Decision - Unanimous ,5,5:00,Mark Smith,"January 14, 2023"
Dan Ige ,Damon Jackson ,W,L,KO/TKO ,2,4:13,Jason Herzog,"January 14, 2023"
Punahele Soriano ,Roman Kopylov ,L,W,KO/TKO ,2,3:19,Kerry Hatley,"January 14, 2023"
Ketlen Vieira ,Raquel Pennington ,L,W,Decision - Split ,3,5:00,Chris Tognoni,"January 14, 2023"
Umar Nurmagomedov ,Raoni Barcelos ,W,L,KO/TKO ,1,4:40,Jason Herzog,"January 14, 2023"
Javid Basharat ,Mateus Mendonca ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"January 14, 2023"
Claudio Ribeiro ,Abdul Razak Alhassan ,L,W,KO/TKO ,2,0:28,Mark Smith,"January 14, 2023"
Mateusz Rebecki ,Nick Fiore ,W,L,Decision - Unanimous ,3,5:00,Kerry Hatley,"January 14, 2023"
Allan Nascimento ,Carlos Hernandez ,W,L,Submission ,1,3:16,Jason Herzog,"January 14, 2023"
Dan Argueta ,Nick Aguirre ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"January 14, 2023"
Charles Johnson ,Jimmy Flick ,W,L,KO/TKO ,1,4:33,Kerry Hatley,"January 14, 2023"
Jared Cannonier ,Sean Strickland ,W,L,Decision - Split ,5,5:00,Herb Dean,"December 17, 2022"
Arman Tsarukyan ,Damir Ismagulov ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"December 17, 2022"
Amir Albazi ,Alessandro Costa ,W,L,KO/TKO ,3,2:13,Keith Peterson,"December 17, 2022"
Alex Caceres ,Julian Erosa ,W,L,KO/TKO ,1,3:04,Herb Dean,"December 17, 2022"
Drew Dober ,Bobby Green ,W,L,KO/TKO ,2,2:45,Keith Peterson,"December 17, 2022"
Cody Brundage ,Michal Oleksiejczuk ,L,W,KO/TKO ,1,3:16,Mark Smith,"December 17, 2022"
Cheyanne Vlismas ,Cory McKenna ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"December 17, 2022"
Jake Matthews ,Matthew Semelsberger ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"December 17, 2022"
Said Nurmagomedov ,Saidyokub Kakhramonov ,W,L,Submission ,2,3:50,Keith Peterson,"December 17, 2022"
Rafa Garcia , Maheshate ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"December 17, 2022"
Bryan Battle ,Rinat Fakhretdinov ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"December 17, 2022"
David Dvorak ,Manel Kape ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"December 17, 2022"
Sergey Morozov ,Journey Newson ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"December 17, 2022"
Jan Blachowicz ,Magomed Ankalaev ,D,D,Decision - Split ,5,5:00,Marc Goddard,"December 10, 2022"
Paddy Pimblett ,Jared Gordon ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"December 10, 2022"
Santiago Ponzinibbio ,Alex Morono ,W,L,KO/TKO ,3,2:29,Jason Herzog,"December 10, 2022"
Darren Till ,Dricus Du Plessis ,L,W,Submission ,3,2:43,Mark Smith,"December 10, 2022"
Bryce Mitchell ,Ilia Topuria ,L,W,Submission ,2,3:10,Marc Goddard,"December 10, 2022"
Raul Rosas Jr. ,Jay Perrin ,W,L,Submission ,1,2:44,Herb Dean,"December 10, 2022"
Jairzinho Rozenstruik ,Chris Daukaus ,W,L,KO/TKO ,1,0:23,Mark Smith,"December 10, 2022"
Edmen Shahbazyan ,Dalcha Lungiambula ,W,L,KO/TKO ,2,4:41,Chris Tognoni,"December 10, 2022"
Chris Curtis ,Joaquin Buckley ,W,L,KO/TKO ,2,2:49,Jason Herzog,"December 10, 2022"
Billy Quarantillo ,Alexander Hernandez ,W,L,KO/TKO ,2,4:30,Chris Tognoni,"December 10, 2022"
TJ Brown ,Erik Silva ,W,L,Submission ,3,3:41,Mark Smith,"December 10, 2022"
Cameron Saaiman ,Steven Koslow ,W,L,KO/TKO ,3,4:13,Chris Tognoni,"December 10, 2022"
